,var,coefficient
135,caseOrigin_113,0.02646210364119614
136,caseOrigin_114,0.030465635384208874
137,caseOrigin_115,0.024114377906073757
138,caseOrigin_116,-0.03947125251154243
139,caseOrigin_117,0.009920626246050317
140,caseOrigin_118,-0.025527676022077398
141,caseOrigin_119,0.01769495319834801
142,caseOrigin_120,-0.04189916153124589
143,caseOrigin_121,-0.038121251842155396
144,caseOrigin_122,-0.0018099753926769414
145,caseOrigin_123,-0.01922086047126148
146,caseOrigin_124,-0.0020579828550237535
147,caseOrigin_125,0.025230407303514606
148,caseOrigin_126,-0.07010308248522855
149,caseOrigin_127,-0.04391597916609561
150,caseOrigin_128,-0.01794431932280502
151,caseOrigin_129,0.02655724174830419
152,caseOrigin_130,-0.002819666522313049
153,caseOrigin_131,-0.00036026471805565953
154,caseOrigin_132,0.00901056857486469
155,caseOrigin_133,0.016872710798501965
156,caseOrigin_134,-0.04842791815786901
158,caseOrigin_153,0.042406751159398424
160,caseOrigin_160,0.028534470924884668
162,caseOrigin_21,0.015289417566552716
163,caseOrigin_22,0.003449677957295727
164,caseOrigin_23,-0.00295688453408971
166,caseOrigin_25,-0.023979314936527957
167,caseOrigin_26,-0.024077209050699128
168,caseOrigin_27,0.006515599219038447
169,caseOrigin_28,0.05424342460854732
170,caseOrigin_29,0.06394941142008193
171,caseOrigin_3,-0.06588182189908015
172,caseOrigin_30,-0.06345940456761968
173,caseOrigin_300,0.00365704375266803
174,caseOrigin_301,0.08624535624388455
175,caseOrigin_302,0.09780554963632866
176,caseOrigin_32,-0.01897148918118829
177,caseOrigin_41,-0.015065559619440989
178,caseOrigin_42,-0.029536578324902994
179,caseOrigin_43,0.006423047672807306
180,caseOrigin_44,0.06546658531084304
181,caseOrigin_45,0.08484518649364811
182,caseOrigin_46,0.031036556871238383
183,caseOrigin_47,0.03431425259339553
184,caseOrigin_50,0.08583312649316194
185,caseOrigin_51,0.08095934342907593
186,caseOrigin_52,-0.10686508162512104
187,caseOrigin_53,-0.0019354435958844171
188,caseOrigin_54,0.02251246094378353
189,caseOrigin_55,-0.10385647119300537
190,caseOrigin_57,-0.04995073168710709
191,caseOrigin_58,-0.04493808769333998
192,caseOrigin_59,-0.033691330691904255
193,caseOrigin_60,-0.0426034147059957
194,caseOrigin_61,0.023934279899577318
195,caseOrigin_63,0.03187829362826477
196,caseOrigin_64,0.03192548668119553
197,caseOrigin_66,0.07887117487529313
198,caseOrigin_67,0.07954086287760963
199,caseOrigin_68,0.024290820901771887
200,caseOrigin_69,-0.009855047881000684
201,caseOrigin_70,0.05010955700775879
202,caseOrigin_71,0.028298806937480516
203,caseOrigin_72,-0.09314087913964267
204,caseOrigin_73,-0.03568822417518571
205,caseOrigin_74,0.004425326954704892
206,caseOrigin_75,-0.06350595956664497
207,caseOrigin_77,0.00615533215147064
208,caseOrigin_78,9.211210715507132e-05
209,caseOrigin_79,-0.020376136489856075
210,caseOrigin_80,0.003792082844924553
211,caseOrigin_81,0.020753466647110357
212,caseOrigin_83,0.06943099974511595
213,caseOrigin_84,-0.05503916636171727
214,caseOrigin_85,-0.014693955933125134
215,caseOrigin_86,0.05122312089754329
216,caseOrigin_87,0.059443472501396165
217,caseOrigin_89,0.006065476035904502
218,caseOrigin_9,-0.04947659963732786
219,caseOrigin_90,0.013377914896330435
220,caseOrigin_91,0.0271771235184414
221,caseOrigin_92,-0.056673143158522885
222,caseOrigin_93,-0.0899016214109149
223,caseOrigin_94,0.06424224021482856
224,caseOrigin_95,0.05065710844807442
225,caseOrigin_96,0.10129522019857237
226,caseOrigin_97,0.01984473771316472
227,caseOrigin_98,-0.01920800235522085
228,caseOrigin_99,-0.06220600807505592
229,caseOrigin_1,0.018896481641601088
231,caseOrigin_48,0.155874515817699
232,caseOrigin_49,0.10328062194458412
233,caseOrigin_56,-0.024802314838035844
234,caseOrigin_7,-0.025175969213575854
235,caseOrigin_82,-0.059266162234287684
236,caseOrigin_88,-0.033059040813687365
237,caseOrigin_154,0.02452594475139792
238,caseOrigin_31,-0.022117682050695187
239,caseOrigin_62,0.07093135156216275
240,caseOrigin_65,0.017257646532639666
241,caseOrigin_76,-0.009845038780628366
242,caseOrigin_151,-0.07627311437960672
243,caseOrigin_152,-0.0005763381694717907
244,caseOrigin_156,0.013583693804971982
245,caseOrigin_2,-0.048277103916022
246,caseOrigin_5,0.0352818643017197
247,caseOrigin_6,-0.009994563152927224
248,caseOrigin_8,-0.04149780229591961
249,caseOrigin_102,0.01724867072190813
250,caseOrigin_15,0.05499075950268926
251,caseOrigin_157,-0.08618086817953105
252,caseOrigin_158,0.09751817755217057
253,caseOrigin_16,-0.09095741909933187
254,caseOrigin_161,-0.08756191006989379
255,caseOrigin_20,-0.15354891877172713
256,caseOrigin_4,-0.04755223315145381
257,caseSource_10,-0.0029219196955106753
258,caseSource_103,0.03161167680205541
259,caseSource_104,-0.0402189637313109
260,caseSource_107,0.013206454314387777
261,caseSource_108,-0.006389256797709414
262,caseSource_109,0.015454117969399278
263,caseSource_110,0.007477322885541788
264,caseSource_111,0.040054883719060415
